Sitios;Codigo;Tem_agua;Tem_aire;OD;pH;Olores;Color;Espumas;Mat_susp;colif_totales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;Nitrato_mg_l;NH4_mg_l;P_total_l_mg_l;Fosf_ortofos_mg_l;DBO_mg_l;DQO_mg_l;Turbiedad_NTU;Hidr_Deriv_Petr_ug_l;Cr_total_mg_l;Cd_total_mg_l;Clorofila_a_ug_l
Rios;TI006;;;;;;;;;980;1800;8000;0,7;0,39;;;;34;;;;;
Rios;TI006;;;;;;;;;1100;7000;9000;0,7;0,36;;;;40;;;;;
Rios;TI006;;;;;;;;;300;2000;5600;0,7;0,35;;;;44;;;;;
Rios;TI006;;;;;;;;;310;6600;8200;0,8;0,39;;;;34;;;;;
Rios;TI006;;;;;;;;;1350;5200;8000;0,6;0,37;;;;37;;;;;
Arroyos;TI009;;;;;;;;;130;2100;5200;0,8;0,21;;;;23;;;;;
Zona Norte;SF015;;;;;;;;;;;;;;;;;;;;;;
Zona Norte;SF015;;;;;;;;;310;1200;2000;1,1;0,49;;;;37;;;;;
Zona Norte;SF015;;;;;;;;;190;800;2600;1,3;0,18;;;;20;;;;;
Zona Norte;SF015;;;;;;;;;3600;30000;124000;9,7;0,89;;;;34;;;;;
Zona Norte;SF015;;;;;;;;;540;3700;10600;2;0,22;;;;37;;;;;
Zona Norte;SF015;;;;;;;;;920;3600;20800;0,95;0,26;;;;56;;;;;
Zona Norte;SF015;;;;;;;;;1560;15000;32800;1,3;0,43;;;;28;;;;;
Zona Norte;SF015;;;;;;;;;1900;9400;36200;1,5;0,3;;;;23;;;;;
Avellaneda;AV054;;;;;;;;;270;600;1000;0,6;0,49;;;;40;;;;;
Avellaneda;AV054;;;;;;;;;590;700;800;1,3;0,52;;;;31;;;;;
Avellaneda;AV054;;;;;;;;;570;400;3800;0,8;0,45;;;;34;;;;;
Avellaneda;AV054;;;;;;;;;810;1400;5600;1;0,5;;;;37;;;;;
Avellaneda;AV054;;;;;;;;;320;400;12000;0,9;0,5;;;;48;;;;;
Quilmes;QU061;;;;;;;;;650;2500;7000;0,8;0,32;;;;31;;;;;
Quilmes;QU061;;;;;;;;;510;1500;2100;0,7;0,35;;;;45;;;;;
Quilmes;QU061;;;;;;;;;210;500;3400;0,7;0,34;;;;34;;;;;
Ensenada;EN084;;;;;;;;;60;200;400;3,5;0,05;;;;70;;;;;
Ensenada;EN084;;;;;;;;;50;100;100;2,6;0,1;;;;12;;;;;
Ensenada;EN084;;;;;;;;;170;200;600;1,6;0,05;;;;10;;;;;
Ensenada;EN084;;;;;;;;;850;100;100;1,4;0,05;;;;12;;;;;
Berazategui ;BZ078;;;;;;;;;160;100;100;3,1;0,05;;;;15;;;;;
Berazategui ;BZ078;;;;;;;;;2600;30000;82400;0,7;0,56;;;;98;;;;;
Berazategui ;BZ078;;;;;;;;;2000;800;1000;2,4;0,26;;;;38;;;;;
Berisso;BS095;;;;;;;;;350;200;1400;1,6;0,05;;;;43;;;;;
Berisso;BS095;;;;;;;;;;;;;;;;;;;;;;
Berisso;BS095;;;;;;;;;750;300;3400;2;0,05;;;;92;;;;;
Canales;TI001;;;;;;;;;400;300;500;0,85;0,05;;;;25;;;;;
Canales;TI001;;;;;;;;;440;100;200;1;0,09;;;;10;;;;;
Rios;TI006;;;;;;;;;300;100;200;1;0,05;;;;18;;;;;
Rios;TI006;;;;;;;;;2800;4000;6000;1;0,22;;;;48;;;;;
Rios;TI006;;;;;;;;;2400;7000;7500;1;0,57;;;;60;;;;;
Rios;TI006;;;;;;;;;2000;300;4000;1,1;0,05;;;;14;;;;;
Rios;TI006;;;;;;;;;480;700;1000;1,1;0,21;;;;10;;;;;
Rios;TI006;;;;;;;;;640;100;200;1;0,05;;;;14;;;;;
Arroyos;TI009;;;;;;;;;1000;100;1000;1;0,05;;;;71;;;;;
Zona Norte;SF015;;;;;;;;;1200;200;2000;1,3;0,2;;;;10;;;;;
Zona Norte;SF015;;;;;;;;;110;100;200;1,2;0,17;;;;14;;;;;
Zona Norte;SF015;;;;;;;;;630;100;1000;1,1;0,18;;;;10;;;;;
Zona Norte;SF015;;;;;;;;;300;700;2500;1;1,06;;;;60;;;;;
Zona Norte;SF015;;;;;;;;;1400;100;15000;2,4;0,19;;;;10;;;;;
Zona Norte;SF015;;;;;;;;;1500;4700;5000;2,9;0,2;;;;33;;;;;
Zona Norte;SF015;;;;;;;;;750;1900;2000;1,8;0,19;;;;37;;;;;
Zona Norte;SF015;;;;;;;;;280;2100;2500;2;0,16;;;;37;;;;;
Avellaneda;AV054;;;;;;;;;3600;1800;12000;3,6;0,63;;;;67;;;;;
Avellaneda;AV054;;;;;;;;;6000;7000;50000;1,1;0,76;;;;33;;;;;
Avellaneda;AV054;;;;;;;;;4200;600;7000;1,1;0,76;;;;48;;;;;
Avellaneda;AV054;;;;;;;;;3200;2300;40000;1,3;0,51;;;;44;;;;;
Avellaneda;AV054;;;;;;;;;500;2200;3500;1,1;0,77;;;;125;;;;;
Quilmes;QU061;;;;;;;;;300;1000;2500;1,7;0,49;;;;67;;;;;
Quilmes;QU061;;;;;;;;;1500;1300;5000;1,5;0,56;;;;75;;;;;
Quilmes;QU061;;;;;;;;;400;600;5000;1,5;0,48;;;;52;;;;;
Ensenada;EN084;;;;;;;;;440;500;3000;2,3;0,1;;;;14;;;;;
Ensenada;EN084;;;;;;;;;180;100;500;2,2;0,27;;;;18;;;;;
Ensenada;EN084;;;;;;;;;360;100;1000;1,7;0,73;;;;52;;;;;
Ensenada;EN084;;;;;;;;;360;400;1500;1,5;0,48;;;;44;;;;;
Berazategui ;BZ078;;;;7,28;;;;;240;100;500;3,2;0,07;;;;21;;;;;
Berazategui ;BZ078;;;;7,8;;;;;2400;600;1500;3,6;0,74;;;;129;;;;;
Berazategui ;BZ078;;;;7,3;;;;;380;500;1500;2,2;0,24;;;;25;;;;;
Berisso;BS095;;;;;;;;;370;100;1000;1;0,05;;;;52;;;;;
Berisso;BS095;;;;;;;;;2800;20000;25000;3;1,34;;;;87;;;;;
Berisso;BS095;;;;;;;;;110;300;400;1,7;0,72;;;;71;;;;;
Canales;TI001;;;;;;;;;8;1,9;6300;2215;0,91;;;;17;;;;;
Canales;TI001;;;;;;;;;6;2,1;2100;2215;3,1;;;;21;;;;;
Rios;TI006;;;;;;;;;17;3;8000;3101;0,9;;;;21;;;;;
Rios;TI006;;;;;;;;;30;3,7;4000;2658;0,47;;;;13;;;;;
Rios;TI006;;;;;;;;;45;12,7;42000;1772;4,64;;;;63;;;;;
Rios;TI006;;;;;;;;;7;200;6000;2658;0,08;;;;10;;;;;
Rios;TI006;;;;;;;;;8;1,4;1800;2658;2,45;;;;17;;;;;
Rios;TI006;;;;;;;;;7;2;2500;2215;0,85;;;;25;;;;;
Arroyos;TI009;;;;;;;;;4;1,3;1400;2658;1,04;;;;33;;;;;
Zona Norte;SF015;;;;;;;;;36;1,3;8000;3101;0,67;;;;17;;;;;
Zona Norte;SF015;;;;;;;;;25;700;5000;5759;0,77;;;;42;;;;;
Zona Norte;SF015;;;;;;;;;35;14;30000;26137;2,72;;;;104;;;;;
Zona Norte;SF015;;;;;;;;;60;1,7;40000;11961;0,08;;;;17;;;;;
Zona Norte;SF015;;;;;;;;;18;1,9;2000;14176;0,08;;;;33;;;;;
Zona Norte;SF015;;;;;;;;;18;800;1600;8417;0,58;;;;42;;;;;
Zona Norte;SF015;;;;;;;;;10;9,2;10000;15505;0,92;;;;100;;;;;
Avellaneda;AV054;;;;;;;;;18,5;8;16500;3987;0,95;;;;75;;;;;
Avellaneda;AV054;;;;;;;;;5;1,6;3000;24365;2,72;;;;96;;;;;
Avellaneda;AV054;;;;;;;;;4;3,8;4000;1772;2,84;;;;88;;;;;
Avellaneda;AV054;;;;;;;;;60;1;14000;2658;2,56;;;;108;;;;;
Avellaneda;AV054;;;;;;;;;10;100;2500;19935;2,28;;;;42;;;;;
Quilmes;QU061;;;;;;;;;9000;300;1800;5759;0,97;;;;67;;;;;
Quilmes;QU061;;;;;;;;;4000;600;1400;5316;0,9;;;;33;;;;;
Quilmes;QU061;;;;;;;;;5000;1,7;3000;8,86;0,75;;;;21;;;;;
