Sitios;Codigo;Tem_agua;Tem_aire;OD;pH;Olores;Color;Espumas;Mat_susp;colif_totales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;Nitrato_mg_l;NH4_mg_l;P_total_l_mg_l;Fosf_ortofos_mg_l;DBO_mg_l;DQO_mg_l;Turbiedad_NTU;Hidr_Deriv_Petr_ug_l;Cr_total_mg_l;Cd_total_mg_l;Clorofila_a_ug_l
Ensenada;EN084;22,9;;7,96;7,8;;;;;24000;24000;24000;;;;;;70;;;;;
Playas;BS091;22,4;;7,39;7,7;;;;;24000;9200;9200;8,8;0,128;;;;72;;;;;
Ensenada;EN084;21,3;;1,05;7;;;;;2400000;2400000;2400000;;;;;;84;;;;;
Playas;BS091;22,5;;7,42;7,8;;;;;109000;34800;34800;;;;;;77;;;;;
Costaneras;VL031;21,7;;8,2;8;;;;;54200;24000;24000;16,5;0,192;;;;75;;;;;
Reservas y Puertos;SI022;21,8;;7,1;7,8;;;;;17200;9200;9200;15,2;0,202;;;;69;;;;;
Reservas y Puertos;SI022;22,2;;7,5;7,9;;;;;91800;3500;16000;14,1;0,092;;;;72;;;;;
Reservas y Puertos;SI022;25,2;;5,27;7,37;;;;;200000;8100;10000;5;0,6;;;;88;;;;;
Ensenada;EN084;24,1;;5,23;7,32;;;;;1000000;16000;19000;5;1,6;;;;99;;;;;
Ensenada;EN084;23,9;;5,72;7,27;;;;;60000;3000;3800;5;3,1;;;;87;;;;;
Reservas y Puertos;SI022;25,4;;5,26;7,27;;;;;130000;14000;19000;6;2,6;;;;134;;;;;
Reservas y Puertos;SI022;25,6;;6,06;7,59;;;;;50000;2300;3100;5;1,1;;;;93;;;;;
Playas;BS091;23;;5,74;7,6;;;;;230000;;;13,3;1,174;;;;63;;;;;
Arroyos;TI009;22;;5,53;7,75;;;;;230000;;;9,9;0,887;;;;58;;;;;
Arroyos;TI009;22,46;;5,81;7,85;;;;;230000;;;10,1;1,922;;;;77;;;;;
Ensenada;EN084;23,93;;5,04;7,54;;;;;230000;;;12,7;1,295;;;;76;;;;;
Costaneras;VL031;22,56;;5,67;7,78;;;;;230000;;;13,3;1,057;;;;73;;;;;
Ensenada;EN084;22,1;20;5,78;7,25;;;;;;;;7,2;0,294;;;;66;;;;;
Reservas y Puertos;SI022;21,9;20;5,87;7,43;;;;;;;;7,09;0,338;;;;68;;;;;
Ensenada;EN084;21,6;20;6,75;7,49;;;;;;;;7,43;0,082;;;;68;;;;;
Reservas y Puertos;SI022;21;20;9;;;;;;;;;7,22;0,412;;;;;;;;;
Balnearios;BS092;;;;;;;;;;;;5,63;0,184;;;;;;;;;
Reservas y Puertos;SI022;20,9;18;8,88;8,17;;;;;24000;2400;2400;13,2;0,142;;;;77;;;;;
TOMA DE AGUA;EN082;21,6;18;6,49;7,65;;;;;;;;18;0,012;;;;56;;;;;
Arroyos;TI009;21,6;18;0,96;7,54;;;;;;;;18,5;0,704;;;;68;;;;;
Reservas y Puertos;SI022;21,4;18;7,25;7,78;;;;;;;;17,5;0,046;;;;56;;;;;
Balnearios;BS092;21,1;18;9,36;8,09;;;;;;;;8,94;0,066;;;;61;;;;;
Balnearios;BS092;20,9;19;9,66;7,68;;;;;16000;490;490;9,61;0,146;;;;70;;;;;
Berisso;BS095;21,6;19;7,95;7,58;;;;;;;;;1,516;;;;120;;;;;
Canales;TI001;10,3; ;0,7;7,9;;;;;1300;130;130;7,56;1,18;;;;31;;;;;
Canales;TI001;10,6;;0,5;7,5;;;;;542000;34800;34800;3,61;7,47;;;;48;;;;;
Rios;TI006;10,4;;0,7;7,4;;;;;5400;230;330;8,37;0,85;;;;10;;;;;
Rios;TI006;10,3;;0,8;7,5;;;;;1090000;91800;91800;10,97;7,29;;;;41;;;;;
Rios;TI006;10;;0,7;7,8;;;;;2210000;172000;172000;7,75;18,85;;;;61;;;;;
Rios;TI006;10,5;;0,5;7,5;;;;;2200;230;490;6,04;0,98;;;;10;;;;;
Rios;TI006;10,4;;0,8;7,5;;;;;1090000;91800;91800;6,21;4,43;;;;44;;;;;
Rios;TI006;10,5;;0,6;7,6;;;;;3500;330;490;3,46;0,66;;;;10;;;;;
Arroyos;TI009;10,5;;0,7;7,4;;;;;2400;130;230;2,78;1,11;;;;10;;;;;
Costaneras;VL031;;;0,2;7,9;;;;;240000;91800;91800;5,81;8,59;;;;45;;;;;
Ensenada;EN084;;;0,8;7,6;;;;;24000;3500;3500;8,3;2,17;;;;30;;;;;
Reservas y Puertos;SI022;;;0,8;7,4;;;;;3500;490;790;5,76;1,32;;;;42;;;;;
Reservas y Puertos;SI022;;;0,2;7,4;;;;;9180000;1609000;1609000;9,85;6,35;;;;125;;;;;
Ensenada;EN084;;;1;7,7;;;;;1609000;221000;221000;0,25;14,29;;;;42;;;;;
Costaneras;VL031;;;0,5;7,4;;;;;278000;54200;54200;4,83;4,14;;;;10;;;;;
Reservas y Puertos;SI022;;;0,7;7,5;;;;;160900;9200;9200;9,61;4,39;;;;40;;;;;
Ensenada;EN084;16,2;17;2,99;7,14;;;;;2700;;1200;7,6;3,72;;;;35;;;;;
Arroyos;TI009;13,5;12;8,98;7,37;;;;;310;;230;7,84;0,66;;;;35;;;;;
Arroyos;TI009;13,4;12;2,7;7,43;;;;;330000;;140000;6,37;1,52;;;;10;;;;;
Costaneras;VL031;13;12;8,37;7,3;;;;;490;;170;7,15;1,22;;;;37;;;;;
Playas;BS091;13,7;12;8,87;7,52;;;;;2600;;800;13,04;0,99;;;;100;;;;;
Ensenada;EN084;9;;0,4;7,9;;;;;6300000;;700000;11,56;5,39;;;;82;;;;;
Reservas y Puertos;SI022;9;;0,4;7,9;;;;;46000000;;8000000;12,3;4,62;;;;71;;;;;
Ensenada;EN084;9;;0,4;7,9;;;;;90000;;70000;24,54;5,75;;;;75;;;;;
Berisso;BS095;9,1;13;1;7,8;;;;;14000;;2700;7,76;0,77;;;;33;;;;;
Berisso;BS095;8,9;11;1,3;8,2;;;;;11000;;1300;16,55;1,4;;;;41;;;;;
Berisso;BS095;9,4;10;2,5;8,1;;;;;63000;;14000;12,93;1,61;;;;41;;;;;
Reservas y Puertos;SI022;12;10;0,8;7,9;;;;;4900000;;1100000;2,17;9,17;;;;72;;;;;
Balnearios;BS092;13;10;4,2;8,1;;;;;270000;;70000;9,45;5,1;;;;57;;;;;
Reservas y Puertos;SI022;12;15;1,6;7,6;;;;;2300;;800;9,32;1,77;;;;20;;;;;
TOMA DE AGUA;EN082;11;15;1,7;7,8;;;;;43000;;13000;7,53;3,29;;;;32;;;;;
Arroyos;TI009;12;15;0,2;7,7;;;;;310000;;80000;3,04;7,77;;;;75;;;;;
Reservas y Puertos;SI022;11;15;0,8;8,1;;;;;9000;;5000;11,46;5,15;;;;53;;;;;
